source,target,lag,r,p_raw,p_adj,significant_fdr
alcohol,babies,1,0.1363,0.39543,0.87959,False
alcohol,babies,2,0.1004,0.5378,0.90493,False
alcohol,babies,3,0.0824,0.61793,0.92087,False
alcohol,babies,4,-0.235,0.15547,0.74424,False
alcohol,bakery,1,0.0979,0.54277,0.9071,False
alcohol,bakery,2,-0.0305,0.85176,0.9735,False
alcohol,bakery,3,0.1333,0.41852,0.88458,False
alcohol,bakery,4,-0.2541,0.12371,0.72852,False
alcohol,beverages,1,0.1407,0.38021,0.87292,False
alcohol,beverages,2,-0.3762,0.01673,0.51938,False
alcohol,beverages,3,0.4362,0.00551,0.51938,False
alcohol,beverages,4,-0.2576,0.11846,0.7267,False
alcohol,breakfast,1,-0.0153,0.92415,0.98619,False
alcohol,breakfast,2,-0.124,0.44602,0.89461,False
alcohol,breakfast,3,0.1914,0.24318,0.80162,False
alcohol,breakfast,4,0.008,0.96189,0.99548,False
alcohol,bulk,1,-0.1193,0.45739,0.89643,False
alcohol,bulk,2,0.1429,0.37913,0.87292,False
alcohol,bulk,3,-0.1981,0.22679,0.77882,False
alcohol,bulk,4,0.0955,0.56834,0.91436,False
alcohol,canned goods,1,0.0743,0.64442,0.92289,False
alcohol,canned goods,2,-0.0116,0.94314,0.99247,False
alcohol,canned goods,3,-0.0524,0.75141,0.95245,False
alcohol,canned goods,4,0.1111,0.50663,0.89904,False
alcohol,dairy eggs,1,0.0827,0.60735,0.92061,False
alcohol,dairy eggs,2,0.0294,0.85699,0.9735,False
alcohol,dairy eggs,3,0.1287,0.43507,0.88761,False
alcohol,dairy eggs,4,-0.0742,0.65799,0.92289,False
alcohol,deli,1,-0.2812,0.07492,0.67694,False
alcohol,deli,2,0.2251,0.16261,0.74424,False
alcohol,deli,3,0.0624,0.70599,0.93525,False
alcohol,deli,4,-0.007,0.96675,0.99685,False
alcohol,dry goods pasta,1,-0.2727,0.08454,0.69593,False
alcohol,dry goods pasta,2,0.0865,0.59565,0.91785,False
alcohol,dry goods pasta,3,-0.0201,0.90344,0.97855,False
alcohol,dry goods pasta,4,0.152,0.3623,0.87263,False
alcohol,frozen,1,-0.0505,0.75379,0.95304,False
alcohol,frozen,2,-0.0888,0.58602,0.91785,False
alcohol,frozen,3,0.0208,0.89988,0.9781,False
alcohol,frozen,4,0.2091,0.20779,0.77034,False
alcohol,household,1,-0.0754,0.63956,0.92289,False
alcohol,household,2,-0.2978,0.06203,0.66194,False
alcohol,household,3,0.0798,0.62907,0.92289,False
alcohol,household,4,-0.0187,0.91143,0.98099,False
alcohol,international,1,0.2849,0.071,0.67694,False
alcohol,international,2,-0.1035,0.52502,0.9013,False
alcohol,international,3,-0.0003,0.99841,0.99914,False
alcohol,international,4,-0.1083,0.51763,0.89977,False
alcohol,meat seafood,1,-0.0275,0.8644,0.9735,False
alcohol,meat seafood,2,-0.0586,0.71931,0.94341,False
alcohol,meat seafood,3,0.0317,0.84823,0.9735,False
alcohol,meat seafood,4,-0.1435,0.38993,0.87303,False
alcohol,pantry,1,0.2431,0.12568,0.72852,False
alcohol,pantry,2,-0.235,0.14436,0.74424,False
alcohol,pantry,3,-0.2063,0.20763,0.77034,False
alcohol,pantry,4,0.1956,0.23932,0.79261,False
alcohol,personal care,1,0.1351,0.39984,0.88238,False
alcohol,personal care,2,-0.3558,0.02423,0.52614,False
alcohol,personal care,3,0.0774,0.63972,0.92289,False
alcohol,personal care,4,0.0021,0.9901,0.99854,False
alcohol,pets,1,0.1972,0.21662,0.77471,False
alcohol,pets,2,-0.1496,0.357,0.87002,False
alcohol,pets,3,0.0298,0.857,0.9735,False
alcohol,pets,4,0.0598,0.72128,0.94341,False
alcohol,produce,1,-0.0892,0.5792,0.91785,False
alcohol,produce,2,0.4261,0.00612,0.51938,False
alcohol,produce,3,-0.2063,0.20761,0.77034,False
alcohol,produce,4,-0.1354,0.41781,0.88458,False
alcohol,snacks,1,-0.204,0.20085,0.76514,False
alcohol,snacks,2,-0.0458,0.77907,0.95953,False
alcohol,snacks,3,0.1326,0.42095,0.88458,False
alcohol,snacks,4,0.1925,0.24686,0.80598,False
babies,alcohol,1,-0.0386,0.81077,0.96481,False
babies,alcohol,2,0.259,0.10657,0.70371,False
babies,alcohol,3,-0.1355,0.4109,0.88458,False
babies,alcohol,4,0.0223,0.89409,0.97765,False
babies,bakery,1,0.322,0.04008,0.64598,False
babies,bakery,2,-0.5909,6e-05,0.08208,False
babies,bakery,3,0.0898,0.58687,0.91785,False
babies,bakery,4,0.3106,0.05771,0.66194,False
babies,beverages,1,0.3902,0.01166,0.51938,False
babies,beverages,2,-0.2441,0.12895,0.73405,False
babies,beverages,3,-0.1236,0.45349,0.89461,False
babies,beverages,4,0.1323,0.42834,0.88716,False
babies,breakfast,1,0.1619,0.31183,0.85317,False
babies,breakfast,2,-0.1497,0.35658,0.87002,False
babies,breakfast,3,-0.0726,0.66059,0.92289,False
babies,breakfast,4,-0.0334,0.84233,0.9735,False
babies,bulk,1,-0.1062,0.50872,0.89904,False
babies,bulk,2,-0.0975,0.5497,0.9071,False
babies,bulk,3,0.1177,0.4753,0.89904,False
babies,bulk,4,0.167,0.31635,0.85349,False
babies,canned goods,1,-0.0674,0.67556,0.92289,False
babies,canned goods,2,0.0009,0.99544,0.99854,False
babies,canned goods,3,0.2545,0.11786,0.72627,False
babies,canned goods,4,-0.3089,0.05915,0.66194,False
babies,dairy eggs,1,-0.0552,0.73172,0.94971,False
babies,dairy eggs,2,-0.0449,0.78338,0.95953,False
babies,dairy eggs,3,0.0175,0.91573,0.98335,False
babies,dairy eggs,4,0.2424,0.14251,0.74424,False
babies,deli,1,-0.0169,0.9165,0.98335,False
babies,deli,2,0.2876,0.07193,0.67694,False
babies,deli,3,-0.2288,0.16112,0.74424,False
babies,deli,4,0.0701,0.67589,0.92289,False
babies,dry goods pasta,1,0.1934,0.22577,0.77882,False
babies,dry goods pasta,2,-0.0875,0.59137,0.91785,False
babies,dry goods pasta,3,-0.0289,0.86129,0.9735,False
babies,dry goods pasta,4,-0.2195,0.18538,0.74976,False
babies,frozen,1,0.0978,0.54305,0.9071,False
babies,frozen,2,0.1681,0.29976,0.8529,False
babies,frozen,3,-0.0451,0.78536,0.95953,False
babies,frozen,4,-0.3881,0.01604,0.51938,False
babies,household,1,0.1389,0.38658,0.87292,False
babies,household,2,0.122,0.45323,0.89461,False
babies,household,3,-0.0133,0.93604,0.98881,False
babies,household,4,-0.2977,0.06953,0.67694,False
babies,international,1,-0.2684,0.08973,0.69593,False
babies,international,2,0.0328,0.84064,0.9735,False
babies,international,3,0.1124,0.49555,0.89904,False
babies,international,4,-0.0269,0.87245,0.9743,False
babies,meat seafood,1,-0.0973,0.54507,0.9071,False
babies,meat seafood,2,0.1628,0.31551,0.85349,False
babies,meat seafood,3,-0.1049,0.5251,0.9013,False
babies,meat seafood,4,0.2038,0.21964,0.77471,False
babies,pantry,1,-0.3549,0.02278,0.51938,False
babies,pantry,2,0.4649,0.00251,0.42921,False
babies,pantry,3,0.0153,0.9265,0.98727,False
babies,pantry,4,-0.3748,0.02044,0.51938,False
babies,personal care,1,-0.0763,0.6352,0.92289,False
babies,personal care,2,0.3062,0.05464,0.66194,False
babies,personal care,3,-0.0187,0.91001,0.98023,False
babies,personal care,4,-0.3621,0.02547,0.53642,False
babies,pets,1,-0.0057,0.9716,0.9985,False
babies,pets,2,0.0742,0.64923,0.92289,False
babies,pets,3,-0.1477,0.36952,0.87292,False
babies,pets,4,0.1646,0.3234,0.85739,False
babies,produce,1,-0.2468,0.11982,0.72851,False
babies,produce,2,-0.0428,0.79317,0.95953,False
babies,produce,3,0.0043,0.97906,0.9985,False
babies,produce,4,0.3008,0.06654,0.66922,False
babies,snacks,1,0.3516,0.02417,0.52614,False
babies,snacks,2,-0.1509,0.35262,0.87002,False
babies,snacks,3,-0.3132,0.05217,0.66194,False
babies,snacks,4,0.1036,0.53602,0.90305,False
bakery,alcohol,1,0.1458,0.36298,0.87268,False
bakery,alcohol,2,0.1452,0.37135,0.87292,False
bakery,alcohol,3,-0.1627,0.32245,0.85739,False
bakery,alcohol,4,0.062,0.71148,0.93835,False
bakery,babies,1,-0.2651,0.0939,0.69593,False
bakery,babies,2,0.1184,0.46693,0.89904,False
bakery,babies,3,0.1368,0.40619,0.88458,False
bakery,babies,4,0.0848,0.6127,0.92061,False
bakery,beverages,1,-0.257,0.10478,0.70015,False
bakery,beverages,2,-0.0447,0.78395,0.95953,False
bakery,beverages,3,0.2838,0.07996,0.69593,False
bakery,beverages,4,-0.2026,0.22256,0.77471,False
bakery,breakfast,1,-0.116,0.47,0.89904,False
bakery,breakfast,2,0.2354,0.14364,0.74424,False
bakery,breakfast,3,-0.2247,0.16914,0.74424,False
bakery,breakfast,4,0.0494,0.76824,0.95541,False
bakery,bulk,1,-0.0759,0.63725,0.92289,False
bakery,bulk,2,0.0499,0.7596,0.95509,False
bakery,bulk,3,0.362,0.02353,0.52614,False
bakery,bulk,4,-0.5642,0.00022,0.15048,False
bakery,canned goods,1,-0.2035,0.20201,0.76514,False
bakery,canned goods,2,0.1661,0.30554,0.8529,False
bakery,canned goods,3,-0.0719,0.66377,0.92289,False
bakery,canned goods,4,-0.2268,0.17096,0.74424,False
bakery,dairy eggs,1,-0.1066,0.50691,0.89904,False
bakery,dairy eggs,2,-0.034,0.83524,0.9735,False
bakery,dairy eggs,3,0.0366,0.82477,0.97187,False
bakery,dairy eggs,4,-0.1184,0.47901,0.89904,False
bakery,deli,1,0.255,0.10765,0.70371,False
bakery,deli,2,0.0435,0.78992,0.95953,False
bakery,deli,3,-0.3725,0.01954,0.51938,False
bakery,deli,4,0.4772,0.00245,0.42921,False
bakery,dry goods pasta,1,0.0334,0.83588,0.9735,False
bakery,dry goods pasta,2,0.1575,0.33163,0.86692,False
bakery,dry goods pasta,3,-0.3274,0.04188,0.64767,False
bakery,dry goods pasta,4,0.2337,0.15786,0.74424,False
bakery,frozen,1,0.3462,0.02659,0.54205,False
bakery,frozen,2,-0.118,0.46852,0.89904,False
bakery,frozen,3,-0.1723,0.29431,0.8529,False
bakery,frozen,4,0.243,0.14152,0.74424,False
bakery,household,1,-0.0582,0.71799,0.94262,False
bakery,household,2,0.2562,0.1106,0.70372,False
bakery,household,3,-0.1368,0.40625,0.88458,False
bakery,household,4,-0.1259,0.45116,0.89461,False
bakery,international,1,0.0631,0.69513,0.93205,False
bakery,international,2,-0.074,0.64997,0.92289,False
bakery,international,3,-0.0559,0.73558,0.95103,False
bakery,international,4,0.1007,0.5475,0.9071,False
bakery,meat seafood,1,-0.1714,0.28406,0.85205,False
bakery,meat seafood,2,-0.1707,0.29224,0.8529,False
bakery,meat seafood,3,0.0825,0.61765,0.92087,False
bakery,meat seafood,4,0.0915,0.58496,0.91785,False
