department,order_pdq,mape_pct,rmse
alcohol,"(2, 1, 0)",7.35,0.00337
babies,"(0, 1, 1)",3.84,0.01327
bakery,"(0, 2, 1)",8.97,0.05735
beverages,"(4, 2, 0)",3.85,0.06961
breakfast,"(1, 0, 0)",3.54,0.01446
bulk,"(0, 1, 1)",6.04,0.00135
canned goods,"(0, 1, 0)",10.02,0.05094
dairy eggs,"(4, 2, 0)",3.36,0.13489
deli,"(1, 0, 0)",3.43,0.017
dry goods pasta,"(2, 0, 2)",3.21,0.01591
frozen,"(1, 0, 0)",4.16,0.05708
household,"(1, 0, 2)",6.52,0.02727
international,"(1, 0, 0)",4.62,0.00644
meat seafood,"(2, 0, 0)",6.25,0.02089
pantry,"(1, 0, 0)",4.03,0.04913
personal care,"(0, 2, 2)",9.37,0.01903
pets,"(0, 0, 3)",12.98,0.00553
produce,"(4, 2, 1)",8.24,0.50334
snacks,"(0, 2, 3)",10.22,0.17027
