department,mean_weekly_demand,std_weekly_demand,cv_volatility,reorder_rate
beverages,1.0487,0.0641,0.0611,0.6535
produce,3.8188,0.4744,0.1242,0.6503
pets,0.037,0.0027,0.0742,0.6023
meat seafood,0.2701,0.0133,0.0494,0.5684
international,0.1046,0.0097,0.0929,0.3695
deli,0.4067,0.0244,0.0599,0.6079
dairy eggs,2.1417,0.1846,0.0862,0.6699
bakery,0.4587,0.0316,0.0688,0.6282
bulk,0.0145,0.0028,0.1902,0.5767
canned goods,0.4156,0.0352,0.0847,0.4584
breakfast,0.2747,0.018,0.0655,0.5611
frozen,0.8488,0.0432,0.0509,0.5424
dry goods pasta,0.3339,0.0218,0.0652,0.462
pantry,0.7216,0.046,0.0638,0.3472
personal care,0.1734,0.0126,0.0726,0.3216
household,0.2831,0.015,0.0529,0.4031
alcohol,0.0511,0.0122,0.2397,0.5711
snacks,1.1361,0.1008,0.0888,0.5742
babies,0.1737,0.0275,0.1585,0.5774
