department,total_units,total_reorders,reorder_rate
produce,9877862,6423240,0.6503
dairy eggs,5625349,3768624,0.6699
snacks,3003348,1724537,0.5742
beverages,2801563,1830711,0.6535
frozen,2334892,1266509,0.5424
pantry,1955243,678784,0.3472
bakery,1224043,768897,0.6282
canned goods,1113920,510596,0.4584
deli,1094460,665322,0.6079
dry goods pasta,904584,417914,0.462
household,774042,312039,0.4031
meat seafood,738647,419858,0.5684
breakfast,738344,414277,0.5611
personal care,468331,150622,0.3216
babies,438298,253090,0.5774
international,280930,103795,0.3695
alcohol,159207,90921,0.5711
pets,102120,61503,0.6023
bulk,35878,20692,0.5767
