department,mean_weekly_demand,std_weekly_demand,cv_volatility,reorder_rate,out_degree,in_degree,net_leadership,lstm_mape,volume_score,accuracy_score,stability_score,centrality_score,composite_score,forecast_reliability,reliability_multiplier,final_priority_score,priority_rank
produce,3.8188,0.4744,0.1242,0.6503,5,7,-2,2.48,0.9999999997371395,1.0,0.6069364182504655,0.39130434780907375,0.7996481531199067,MEDIUM,0.9,0.7197,1
frozen,0.8488,0.0432,0.0509,0.5424,11,4,7,2.73,0.2193044711985636,0.9829001368000753,0.992117708922135,0.7826086956181475,0.6774268800275727,HIGH,1.0,0.6774,2
dairy eggs,2.1417,0.1846,0.0862,0.6699,3,7,-4,2.85,0.5591567435377977,0.9746922024641114,0.8066211255563788,0.304347826073724,0.6615717011802776,HIGH,1.0,0.6616,3
beverages,1.0487,0.0641,0.0611,0.6535,8,3,5,3.13,0.27185027461770883,0.9555403556801956,0.938518129592653,0.6956521738827978,0.6608667457313371,HIGH,1.0,0.6609,4
dry goods pasta,0.3339,0.0218,0.0652,0.462,15,3,12,3.88,0.08395762687381182,0.9042407660804213,0.9169732006464887,0.9999999999565218,0.6388400010465416,HIGH,1.0,0.6388,5
snacks,1.1361,0.1008,0.0888,0.5742,8,3,5,3.58,0.2948242777134232,0.924760601920331,0.7929584876880794,0.6956521738827978,0.6321007799939564,HIGH,1.0,0.6321,6
household,0.2831,0.015,0.0529,0.4031,13,6,7,6.54,0.07060431614998704,0.7222982216332217,0.9816079874849817,0.7826086956181475,0.5581294026814267,HIGH,1.0,0.5581,7
pantry,0.7216,0.046,0.0638,0.3472,4,6,-2,3.86,0.18586862229953774,0.9056087551364153,0.924330005652496,0.39130434780907375,0.554583077281256,HIGH,1.0,0.5546,8
meat seafood,0.2701,0.0133,0.0494,0.5684,5,4,1,4.43,0.06718713033483502,0.8666210670405868,1.0,0.5217391304120983,0.5445185884597586,HIGH,1.0,0.5445,9
international,0.1046,0.0097,0.0929,0.3695,12,3,9,5.6,0.023683726303476663,0.7865937072649389,0.7714135587419151,0.8695652173534971,0.533133486241534,HIGH,1.0,0.5331,10
deli,0.4067,0.0244,0.0599,0.6079,4,4,0,5.47,0.10309386743866313,0.7954856361288998,0.944823962454945,0.47826086954442343,0.5195712290356307,HIGH,1.0,0.5196,11
canned goods,0.4156,0.0352,0.0847,0.4584,7,5,2,6.3,0.10543332541980566,0.7387140903051496,0.8145034166342437,0.5652173912797731,0.49752434805602275,HIGH,1.0,0.4975,12
bakery,0.4587,0.0316,0.0688,0.6282,1,11,-10,3.77,0.11676261069927119,0.9117647058883882,0.8980557020596127,0.04347826086767486,0.45711488280229945,HIGH,1.0,0.4571,13
personal care,0.1734,0.0126,0.0726,0.3216,1,11,-10,3.67,0.041768525079050406,0.9186046511683581,0.8780872313290213,0.04347826086767486,0.4285832450090964,HIGH,1.0,0.4286,14
breakfast,0.2747,0.018,0.0655,0.5611,3,14,-11,5.16,0.0683962883925042,0.8166894664968065,0.9153967424309157,0.0,0.41119041604776124,HIGH,1.0,0.4112,15
pets,0.037,0.0027,0.0742,0.6023,3,3,0,11.16,0.005914360064686181,0.40629274969861207,0.8696794541792987,0.47826086954442343,0.3732312781920376,HIGH,1.0,0.3732,16
babies,0.1737,0.0275,0.1585,0.5774,1,8,-7,5.13,0.04184738321324622,0.8187414500807975,0.4266946956032859,0.17391304347069944,0.33945349445963263,MEDIUM,0.9,0.3055,17
bulk,0.0145,0.0028,0.1902,0.5767,11,10,1,6.43,0.0,0.7298221614411886,0.2601156108244056,0.5217391304120983,0.3388264886075979,MEDIUM,0.9,0.3049,18
alcohol,0.0511,0.0122,0.2397,0.5711,2,5,-3,17.1,0.009620692371889521,6.839950827952634e-11,5.254860768744152e-09,0.3478260869413989,0.07293246078651315,LOW,0.75,0.0547,19
