relative_week,department,demand_per_active_user
0.0,beverages,1.0335
1.0,beverages,1.0281
2.0,beverages,1.0403
3.0,beverages,1.0403
4.0,beverages,0.957
5.0,beverages,1.0045
6.0,beverages,1.0092
7.0,beverages,0.9957
8.0,beverages,0.9666
9.0,beverages,0.99
10.0,beverages,0.9969
11.0,beverages,0.9987
12.0,beverages,0.9705
13.0,beverages,1.0052
14.0,beverages,0.9935
15.0,beverages,0.9968
16.0,beverages,0.9949
17.0,beverages,0.989
18.0,beverages,1.0005
19.0,beverages,0.9956
20.0,beverages,1.007
21.0,beverages,1.0092
22.0,beverages,1.0186
23.0,beverages,1.0236
24.0,beverages,1.0105
25.0,beverages,1.016
26.0,beverages,1.0172
27.0,beverages,1.0237
28.0,beverages,1.0397
29.0,beverages,1.0159
30.0,beverages,1.024
31.0,beverages,1.0303
32.0,beverages,1.037
33.0,beverages,1.0408
34.0,beverages,1.0372
35.0,beverages,1.0797
36.0,beverages,1.0961
37.0,beverages,1.1164
38.0,beverages,1.1147
39.0,beverages,1.1241
40.0,beverages,1.1283
41.0,beverages,1.1346
42.0,beverages,1.1346
43.0,beverages,1.1442
44.0,beverages,1.1715
45.0,beverages,1.1743
46.0,beverages,1.1817
47.0,beverages,1.1576
48.0,beverages,1.1498
49.0,beverages,1.1775
50.0,beverages,1.1007
51.0,beverages,0.9882
0.0,produce,3.5781
1.0,produce,3.6272
2.0,produce,3.6044
3.0,produce,3.5592
4.0,produce,3.2889
5.0,produce,3.5077
6.0,produce,3.4645
7.0,produce,3.4548
8.0,produce,3.2214
9.0,produce,3.4133
10.0,produce,3.3867
11.0,produce,3.3907
12.0,produce,3.2353
13.0,produce,3.4207
14.0,produce,3.3763
15.0,produce,3.3679
16.0,produce,3.3768
17.0,produce,3.325
18.0,produce,3.4343
19.0,produce,3.4327
20.0,produce,3.4449
21.0,produce,3.4295
22.0,produce,3.4798
23.0,produce,3.4874
24.0,produce,3.5113
25.0,produce,3.5632
26.0,produce,3.6055
27.0,produce,3.6148
28.0,produce,3.64
29.0,produce,3.6574
30.0,produce,3.7591
31.0,produce,3.7708
32.0,produce,3.7616
33.0,produce,3.8396
