relative_week,beverages,produce,pets,meat seafood,international,deli,dairy eggs,bakery,bulk,canned goods,breakfast,frozen,dry goods pasta,pantry,personal care,household,alcohol,snacks,babies
0.0,1.0335,3.5781,0.04,0.2875,0.1164,0.422,2.0203,0.46,0.0112,0.4441,0.2832,0.9533,0.3643,0.7933,0.192,0.3151,0.0828,1.1062,0.1417
1.0,1.0281,3.6272,0.0386,0.2845,0.1121,0.4126,2.0383,0.4566,0.0116,0.412,0.2825,0.9051,0.3421,0.7532,0.1717,0.2772,0.0722,1.1174,0.1568
2.0,1.0403,3.6044,0.0379,0.2814,0.1084,0.4145,2.0409,0.4563,0.0125,0.4148,0.2829,0.903,0.3443,0.7382,0.1745,0.2842,0.075,1.1254,0.1548
3.0,1.0403,3.5592,0.0377,0.2801,0.1057,0.4082,2.0284,0.4527,0.012,0.4029,0.2782,0.8947,0.3391,0.7397,0.175,0.2849,0.0739,1.1165,0.1528
4.0,0.957,3.2889,0.0369,0.2663,0.101,0.3854,1.8727,0.4233,0.0114,0.3896,0.2591,0.8676,0.3301,0.7122,0.1706,0.2916,0.0679,1.027,0.1324
5.0,1.0045,3.5077,0.0379,0.2747,0.106,0.4001,1.9893,0.4428,0.0122,0.3948,0.2696,0.8755,0.3292,0.7164,0.1687,0.2774,0.0699,1.0672,0.1561
6.0,1.0092,3.4645,0.0365,0.2718,0.1018,0.4022,1.9815,0.4445,0.0119,0.3887,0.2713,0.881,0.3329,0.7065,0.167,0.2754,0.0633,1.0952,0.1526
7.0,0.9957,3.4548,0.0382,0.2724,0.0996,0.3997,1.9621,0.4357,0.0126,0.3824,0.2677,0.8645,0.3255,0.7036,0.1672,0.2843,0.067,1.071,0.1533
8.0,0.9666,3.2214,0.037,0.2609,0.0964,0.3752,1.8561,0.4177,0.0113,0.3744,0.2571,0.8325,0.3167,0.6869,0.1642,0.2829,0.0617,1.0141,0.1343
9.0,0.99,3.4133,0.0368,0.2709,0.0987,0.3901,1.9449,0.4321,0.012,0.3816,0.261,0.8398,0.3136,0.6988,0.1661,0.2735,0.0626,1.0451,0.1528
10.0,0.9969,3.3867,0.0352,0.2678,0.0966,0.3909,1.953,0.4326,0.0117,0.3762,0.2588,0.8431,0.3191,0.6848,0.1643,0.2731,0.0632,1.0561,0.1504
11.0,0.9987,3.3907,0.0367,0.2658,0.0985,0.3916,1.9604,0.4297,0.0115,0.3843,0.2614,0.8463,0.3228,0.6862,0.1662,0.2781,0.0609,1.0553,0.1548
12.0,0.9705,3.2353,0.0347,0.2549,0.0937,0.3747,1.8917,0.4131,0.0111,0.3724,0.2526,0.8179,0.3106,0.6718,0.1613,0.2732,0.0572,1.0082,0.1414
13.0,1.0052,3.4207,0.0392,0.2645,0.0958,0.3961,1.9983,0.4315,0.0119,0.3785,0.2673,0.8428,0.3201,0.6975,0.1666,0.2748,0.061,1.0681,0.1516
14.0,0.9935,3.3763,0.0353,0.2632,0.0982,0.3908,1.9904,0.4364,0.0114,0.3736,0.26,0.8357,0.3167,0.6868,0.164,0.2697,0.0571,1.0521,0.153
15.0,0.9968,3.3679,0.0349,0.2581,0.097,0.3874,1.9906,0.4329,0.0117,0.3771,0.2607,0.8315,0.3141,0.6685,0.1663,0.2694,0.0583,1.0547,0.1512
16.0,0.9949,3.3768,0.0366,0.2633,0.0969,0.3891,1.9935,0.4299,0.012,0.3806,0.2616,0.8188,0.3148,0.6649,0.1595,0.2721,0.0562,1.0689,0.1536
17.0,0.989,3.325,0.0339,0.2563,0.0907,0.3809,1.9558,0.427,0.0116,0.3753,0.2579,0.8101,0.3128,0.661,0.1627,0.2788,0.055,1.0439,0.1455
18.0,1.0005,3.4343,0.037,0.2651,0.0939,0.3893,2.0081,0.4359,0.0115,0.3807,0.2581,0.8166,0.3125,0.6635,0.1604,0.2708,0.0572,1.0519,0.1522
19.0,0.9956,3.4327,0.0377,0.2571,0.0955,0.3887,2.0079,0.4338,0.0125,0.3853,0.2577,0.8024,0.3117,0.6585,0.1588,0.2678,0.0521,1.0487,0.1526
20.0,1.007,3.4449,0.0358,0.2593,0.0948,0.3847,2.018,0.4374,0.0129,0.3921,0.2582,0.8073,0.314,0.6658,0.1632,0.2756,0.0553,1.0704,0.1507
